05F49BE9  // 0.372219
0871DDD3  // 0.527799
07D0A292  // 0.488436
02B89B68  // 0.17007
FBE7E06C  // -0.255889
F6C4D090  // -0.57695
F4240B47  // -0.7412
F300C348  // -0.812314
F27937C4  // -0.845406
F23C82B6  // -0.860227
F22C72D8  // -0.864148
F25D3B23  // -0.852239
F322CCA3  // -0.804004
F4C6A429  // -0.701504
F719CF50  // -0.556199
F95E1761  // -0.414528
FAD76364  // -0.322415
FB79C7EA  // -0.282768
FBC6746A  // -0.264049
FC1261DF  // -0.245512
FC4B0F83  // -0.231675
FC574A73  // -0.228689
FC4BEE6C  // -0.231462
FC4365FF  // -0.233545
FC424060  // -0.233825
FC401146  // -0.234359
FC2CE404  // -0.23904
FBFE90E1  // -0.25035
FBC5DC99  // -0.264194
FB9EB004  // -0.273758
FB8868C6  // -0.279197
FB68E8CE  // -0.286887
FB3487E0  // -0.299675
FAF7834B  // -0.314572
FABDCD60  // -0.328662
FA8D7CA4  // -0.340457
FA7154EF  // -0.347331
FA6B318C  // -0.34883
FA609952  // -0.351416
FA32311C  // -0.362746
F9E92BAF  // -0.380574
F9B55BCC  // -0.393223
F9B69096  // -0.392929
F9DB5000  // -0.383957
F9FFD27E  // -0.375043
FA19239A  // -0.368863
FA327DE8  // -0.362673
FA579F2D  // -0.353608
FA957CC5  // -0.338504
FAF53292  // -0.315137
FB61F62F  // -0.288584
FBB2CD0A  // -0.268847
FBDF8D2D  // -0.257922
FC0B5C39  // -0.247227
FC4FB489  // -0.230541
FC9C862F  // -0.211786
FCD210E0  // -0.198714
FCE439B6  // -0.194281
FCE413F5  // -0.194317
FCEE846A  // -0.191768
FD0D9BB0  // -0.184178
FD2E887B  // -0.176139
FD380496  // -0.173824
FD226EE9  // -0.179093
FCFF09CE  // -0.187735
FCED80AB  // -0.192016

