FA265E2B  // -0.365633
FA372F3E  // -0.361527
FA3B0F4F  // -0.360581
FA59C45B  // -0.353084
FAA44258  // -0.334898
FAF81834  // -0.31443
FB2F397B  // -0.300971
FB543303  // -0.291944
FB862478  // -0.27975
FBC6F036  // -0.263931
FC087A44  // -0.24793
FC49FE6D  // -0.231935
FC883A45  // -0.216741
FCB23A41  // -0.206487
FCC73FB8  // -0.201355
FCE0456A  // -0.195246
FD0B6074  // -0.184722
FD38AFF1  // -0.17366
FD5230DC  // -0.167434
FD50D81C  // -0.167763

